station_id,station_name,nb_available_bikes
9116,Victoire - Chaussée d'Antin,23
11030,Oberkampf - République,18
17031,Place de la Porte de Champerret,20
16008,Galilée - Kléber,31
11039,Richard Lenoir - Jean-Pierre Timbaud,22
17013,Legendre - Dulong,16
1119,Cossonnerie - Sébastopol,5
7021,Bosquet - Saint-Dominique,14
11026,Chemin Vert - Saint-Maur,41
13050,Quai Panhard et Levassor,37
32604,Square du Théâtre du Garde-Chasse,43
19024,Botzaris - Parc des Buttes Chaumont,9
9014,Faubourg Montmartre - La Fayette,21
15021,Joseph Liouville - Croix Nivert,53
17105,Place Madeleine Daniélou,38
5012,Estrapade - Ulm,4
13051,Halle Freyssinet - Parvis Alan Turing,20
11105,Parmentier - République,40
20134,Lieutenant Chauré - Etienne Marey,19
24001,Léonard de Vinci,23
4108,Quai de Béthune - Pont de la Tournelle,19
21403,Gare de Clamart,5
21701,Larmeroux - Baudelaire,13
18009,Jean-François Lépine - Stephenson,0
5106,Cujas - Saint-Michel,17
22003,Beffroy,18
16038,Molitor - Chardon-Lagache,15
41601,Général De Gaulle - Alouette,19
14110,Abbé Carton - Plantes,13
17125,Marie-Georges Picquart - Pereire,21
16108,Sablons - Georges Mandel,33
43005,Gare RER de Vincennes,2
19032,Villette - Belleville,27
16136,Théophile Gautier - François Millet,2
31707,Edouard Vaillant - Galliéni,45
19022,Marché Secrétan,0
17042,Porte Maillot - Pereire,44
35005,Quai de l'Aisne - Général Leclerc,10
11024,Mairie du 11ème,43
2111,Chabanais - Petits Champs,0
5124,Ulm - Louis Thuillier,0
14136,Auguste Cain - Jean Moulin,33
15013,Volontaire - Lecourbe,0
15034,Lakanal - Commerce,0
8025,Miromesnil - La Boétie,32
32302,Chemin Vert - Fraternité,17
10014,Marseille - Beaurepaire,33
9032,Mathurins - Auber,23
5123,Saint-Germain - Thenard,24
13002,Arago - Glacière,3
42010,Mairie d'Ivry-sur-Seine,42
15046,Parc Georges Brassens - Brancion,27
22501,Théâtre,12
11035,Parmentier - Abel rabaud,1
46001,Place Paul Eluard,3
16040,Exelmans - Michel-Ange,22
22006,Pierret - Madrid,11
17028,Reims - Raymond Pitet,30
21301,Saint-Vincent - Verdun,15
21112,Claude Debussy - Marc Bloch,2
42302,Aristide Briand - Gare de Bagneux,16
21110,Parc Roger Salengro,23
19029,Seine - Flandre,17
19016,Hautpoul - Jean Jaurès,25
19013,Laumière - Petit,7
32003,Wilson - Métallurgie,7
21104,Madame de Sanzillon - Mozart,0
13030,Italie - Tolbiac,0
11042,Grand Prieuré - Crussol,47
9005,Square d'Anvers,1
7102,Mairie du 7ème,0
11004,Charonne - Faubourg Saint-Antoine,0
22101,Gare Routière,7
42301,Gare Arcueil - Cachan,21
7005,Raspail - Bac,29
42504,Gare RER de Gentilly,1
13124,Italie - Place d'Italie,0
20121,Boyer - Ménilmontant,10
21302,Aristide Briand - Place de la Résistance,7
42015,Place Jean Ferrat,23
19008,Flandre - Alphonse Karr,0
20111,Villiers de l'Isle Adam - Pyrénées,10
9021,Saint Georges - d'Aumale,11
31010,Stalingrad - Désiré Chevalier,38
13041,Porte d'Ivry,0
5006,Saint-Jacques - Soufflot,13
41402,Victor Hugo - Ecoles,7
43003,Hôpital Bégin,4
7110,Quai Anatole France - Musée d'Orsay,5
20039,Belleville - Couronnes,50
12009,Charenton - Diderot,14
18012,Stephenson - Doudeauville,28
11036,Jules Ferry - Faubourg du Temple Paris,44
19125,Place de l'Édit de Nantes,22
23009,Anatole France - Louise Michel,36
11040,Temple - Jean-Pierre Timbaud,23
21313,Guynemer - Séverine,11
11007,Jean Macé - Faidherbe,57
32303,Gaston Roussel - Commune de Paris,15
15133,Sellier - Saint-Cloud,0
8035,Bienfaisance - Place de Narvik,34
12027,Montgallet - Charenton,0
21305,Place Jacques Madaule,13
10011,Bourse du Travail,9
6013,Jacques Callot - Mazarine,0
10113,Parmentier - Hôpital Saint-Louis,0
28001,Richard Wallace - Place du 8 Mai 1945,7
26007,Square Gilbert Thomain,8
7015,Varenne,38
33018,Edouard Poisson - Victor Hugo,17
16111,Faustin Hélie - Desbordes-Valmore,28
